fits_file,streak_id,status,matched,satellite_name,min_angle_error,start_ra,start_dec,end_ra,end_dec,error,obs_time,candidate_1_name,candidate_1_separation,candidate_1_angle_error,candidate_2_name,candidate_2_separation,candidate_2_angle_error,candidate_3_name,candidate_3_separation,candidate_3_angle_error
frame-r-008095-6-0115,1,Success,TRUE,SAT_26039,2.349608641,332.1193862,-5.342902562,332.282264,-5.365999644,,2009/10/15 2:48:11,SAT_26039,1.741612028,2.349608641,SAT_25282,3.736292278,2.753236765,SAT_15199,3.670269941,4.788550195
frame-r-008095-6-0115,2,Success,TRUE,SAT_26039,2.235889775,332.1196978,-5.340999751,332.2824242,-5.36374744,,2009/10/15 2:48:11,SAT_26039,1.741612028,2.235889775,SAT_25282,3.736292278,2.866955631,SAT_15199,3.670269941,4.674831328
frame-r-008095-6-0116,1,Success,TRUE,SAT_26039,2.238119913,332.269956,-5.343187784,332.4328874,-5.365970486,,2009/10/15 2:48:47,SAT_26039,1.741612028,2.238119913,SAT_25282,3.736292278,2.864725494,SAT_15199,3.670269941,4.677061466
frame-r-008095-1-0127,1,No match,FALSE,,inf,333.8433777,-7.600918429,333.8229495,-7.571910342,FOVNotMatch,2009/10/15 2:55:21,SAT_30707,1.3431782,16.52253704,SAT_08439,1.850411553,18.99627094,SAT_31864,2.202946039,31.08228566
frame-r-008095-6-0123,1,Success,TRUE,SAT_26039,1.737539875,333.3252092,-5.343982468,333.4879012,-5.3662157,,2009/10/15 2:52:58,SAT_26039,2.83743663,1.737539875,SAT_25282,4.070201725,3.284168706,SAT_26827,5.120206084,3.695661725
frame-r-008095-6-0123,2,Success,TRUE,SAT_26039,1.760876739,333.4878802,-5.364211027,333.3249097,-5.341872324,,2009/10/15 2:52:58,SAT_26039,2.83743663,1.760876739,SAT_25282,4.070201725,3.260831843,SAT_26827,5.120206084,3.672324861
frame-r-008095-6-0126,1,Success,TRUE,SAT_26039,1.180121814,333.9394895,-5.366279818,333.9010326,-5.361403464,,2009/10/15 2:54:46,SAT_26039,2.83743663,1.180121814,SAT_25282,4.070201725,3.841586767,SAT_15199,3.259721365,3.860235517
frame-r-008095-6-0126,2,Success,TRUE,SAT_26039,2.297963849,333.9394448,-5.364352529,333.931712,-5.363218956,,2009/10/15 2:54:46,SAT_26039,2.83743663,2.297963849,SAT_25282,4.070201725,2.723744733,SAT_26827,5.120206084,3.135237752
frame-r-008095-5-0261,1,Success,TRUE,SAT_23238,0.757550991,354.182149,-6.943679997,354.2155724,-6.935675888,,2009/10/15 4:15:22,SAT_23238,3.27616582,0.757550991,SAT_27625,1.700582876,0.778577211,SAT_12472,4.869661608,0.859798346
frame-r-008096-2-0273,1,Success,TRUE,SAT_26780,1.936154562,7.298160982,19.55079383,7.173543301,19.58118764,,2009/10/15 9:12:34,SAT_26780,4.834621762,1.936154562,SAT_02529,1.524337935,2.05770578,SAT_26769,5.314271484,16.37922502
frame-r-008095-1-0294,1,Success,TRUE,SAT_22254,0.568203152,359.0045773,-8.6939184,359.1399555,-8.683678573,,2009/10/15 4:35:04,SAT_22254,3.228188308,0.568203152,SAT_21149,3.741143668,0.858623293,SAT_20762,4.631344599,0.859766788
frame-r-008095-4-0337,1,Success,TRUE,SAT_17253,0.686537087,5.51402529,-7.287748524,5.622083287,-7.302595024,,2009/10/15 5:00:45,SAT_17253,2.311250043,0.686537087,SAT_25126,2.008201687,7.189412235,SAT_29642,5.448084283,7.760267095
frame-r-008100-3-0046,1,Success,TRUE,SAT_28814,1.950291265,318.7448816,-5.230403013,318.9065826,-5.260473489,,2009/10/16 1:46:00,SAT_28814,0.185055843,1.950291265,SAT_28466,4.888485713,8.473289392,SAT_25126,0.920336829,8.478724979
frame-r-008100-3-0043,1,Success,TRUE,SAT_28814,4.109254218,318.2919478,-5.22892084,318.453667,-5.259134764,,2009/10/16 1:44:13,SAT_28814,4.23824313,4.109254218,SAT_28466,4.180707828,8.43177026,SAT_25126,1.131193508,8.510021972
