fits_file,streak_id,status,matched,satellite_name,min_angle_error,start_ra,start_dec,end_ra,end_dec,error,obs_time,candidate_1_name,candidate_1_separation,candidate_1_angle_error,candidate_2_name,candidate_2_separation,candidate_2_angle_error,candidate_3_name,candidate_3_separation,candidate_3_angle_error
frame-g-001056-6-0143,1,No match,FALSE,N/A,inf,345.5616556,0.92262395,345.6471733,1.050704512,FOVNotMatch,1999/10/16 8:09:53.00,SAT_19996,4.121025958,21.56108135,SAT_04718,5.681849287,45.08111179,SAT_23671,2.710571917,45.29818178
frame-g-001056-2-0181,1,No match,FALSE,N/A,inf,351.3931339,-0.669170493,351.4154324,-0.691249047,FOVNotMatch,1999/10/16 8:32:35.00,SAT_25116,0.871066601,35.6808854,SAT_13762,0.690379893,45.39897691,SAT_10450,1.439070116,54.16140094
frame-g-001057-1-0029,1,Success,TRUE,SAT_08747,4.010272248,59.27953318,-1.107580662,59.44312443,-1.138321474,,1999/10/16 9:33:27.00,SAT_08747,4.288219817,4.010272248,SAT_11635,5.981805022,9.10943101,SAT_25913,4.393718763,10.47850846
frame-g-001057-1-0030,1,Success,TRUE,SAT_08747,3.856350261,59.43012165,-1.079119861,59.59216317,-1.110020592,,1999/10/16 9:34:02.00,SAT_08747,4.288219817,3.856350261,SAT_11635,5.981805022,9.263352996,SAT_25913,4.393718763,10.63243044
frame-g-001057-1-0031,1,Success,TRUE,SAT_08747,3.669821811,59.67197763,-1.06839629,59.74188307,-1.081963054,,1999/10/16 9:34:38.00,SAT_08747,4.288219817,3.669821811,SAT_11635,5.981805022,9.449881446,SAT_25913,4.393718763,10.81895889
frame-g-001057-3-0050,1,Success,TRUE,SAT_21630,2.259325547,62.4713721,-0.31235199,62.54370837,-0.118533058,,1999/10/16 9:45:59.00,SAT_21630,5.492403628,2.259325547,SAT_23632,1.263145745,4.441072371,SAT_18719,5.550415413,23.8195307
frame-g-001057-2-0051,1,Success,TRUE,SAT_21630,2.259196522,62.61434547,-0.731837907,62.69794905,-0.507839171,,1999/10/16 9:46:35.00,SAT_21630,5.492403628,2.259196522,SAT_23632,1.263145745,4.440943346,SAT_18719,5.550415413,23.81965973
frame-g-001140-2-0130,1,No match,FALSE,N/A,inf,172.2901434,-3.050431246,172.3946473,-2.971148416,FOVNotMatch,2000/2/12 9:46:35.00,SAT_23244,2.985817462,27.5640338,SAT_18571,2.565325735,29.48966399,SAT_20705,2.734862829,36.95978697
frame-g-001142-5-0041,1,No match,FALSE,N/A,inf,232.2340383,0.742558947,232.3415667,0.669751978,FOVNotMatch,2000/2/12 12:40:33.00,SAT_21135,5.486764915,28.14895773,SAT_23847,0.615177141,28.2528627,SAT_22044,5.110686238,29.32791743
frame-g-001142-5-0044,1,No match,FALSE,N/A,inf,232.6281346,0.734015291,232.7516774,0.750840634,FOVNotMatch,2000/2/12 12:42:21.00,SAT_22796,5.587821496,8.842496168,SAT_19621,4.959604198,10.62793461,SAT_22044,5.110686238,12.53191894
